gene,chromosome,oe_lof_upper,pLI,mis_z
KCNN3,1,0.319,0.97227,3.3258
HSPA9,5,0.319,0.96852,1.0372
ZBTB12,6,0.319,0.94882,3.4467
RBM41,X,0.319,0.96551,0.68319
STAT2,12,0.319,0.93065,2.5952
ELOVL6,4,0.319,0.96581,3.0411
PPP2R5C,14,0.319,0.97071,3.0831
SPATS2,12,0.319,0.97239,0.796
ZNF687,1,0.319,0.97101,1.8085
USP12,13,0.319,0.97053,2.8193
NPAS1,19,0.319,0.97067,1.7971
SYNRG,17,0.319,0.93079,1.4376
SPRED1,15,0.319,0.97246,1.1694
MRC2,17,0.319,0.67472,2.7252
ATG16L1,2,0.319,0.96452,2.6338
SULT4A1,22,0.319,0.96563,2.6586
NR3C1,5,0.32,0.96958,1.841
BRS3,X,0.32,0.94849,0.93894
DIAPH1,5,0.32,0.91507,1.6505
MON2,12,0.32,0.59388,3.2037
WNT3A,1,0.32,0.96491,1.9978
HIAT1,1,0.32,0.97172,2.8214
GPRIN1,5,0.32,0.97001,0.33776
RGL1,1,0.32,0.95608,2.2238
LRRN1,3,0.32,0.96996,0.3483
FBXO5,6,0.32,0.96995,0.82173
PAK2,3,0.32,0.97169,3.4003
BEGAIN,14,0.32,0.97002,2.2364
CCNE1,19,0.32,0.97187,1.5287
KIAA0907,1,0.32,0.96921,1.7437
CORO1A,16,0.32,0.97024,2.4762
NBEAL2,3,0.32,0.059764,2.3933
PPIG,2,0.32,0.96292,1.7173
ECE1,1,0.321,0.95987,2.3066
RANBP10,16,0.321,0.96855,1.5452
APBB1,11,0.321,0.96811,1.5605
CLCF1,11,0.321,0.94791,1.1195
GATA1,X,0.321,0.94798,1.1352
MTF1,1,0.321,0.96897,2.5403
PIM2,X,0.321,0.94801,1.336
BCL11A,2,0.322,0.96998,3.835
FAM46C,1,0.322,0.94762,1.9902
NOTCH3,19,0.322,0.40757,3.5329
IDS,X,0.322,0.94725,0.9735
SHB,9,0.322,0.96874,0.24113
COL4A6,X,0.322,0.89901,1.4821
SERPING1,11,0.322,0.96351,1.0607
RPS5,19,0.322,0.94764,2.7926
EIF2S3,X,0.322,0.96388,3.6078
OFD1,X,0.322,0.95968,0.31954
NUP155,5,0.323,0.65349,0.80795
SIX3,2,0.323,0.94714,2.0739
RBX1,22,0.323,0.94689,2.3818
DYRK1B,19,0.323,0.96905,1.8452
CCAR2,8,0.323,0.94099,0.73339
ZC3H7B,22,0.323,0.92932,2.8673
FGF9,13,0.323,0.94704,1.5424
PRKRIR,11,0.323,0.96834,2.3391
PVRL2,19,0.323,0.96926,1.6425
CLTA,9,0.323,0.96319,0.79917
SH2B1,16,0.323,0.96861,0.69061
GLS,2,0.323,0.96154,3.7308
ZKSCAN1,7,0.323,0.96937,2.1168
SEMA6D,15,0.323,0.93948,1.0786
IL13RA1,X,0.323,0.96333,0.52199
ZCCHC8,12,0.323,0.96584,2.0278
MAP3K8,10,0.323,0.96825,2.291
BABAM1,19,0.324,0.96269,1.1667
TSC22D2,3,0.324,0.96853,0.70121
RAB3A,19,0.324,0.9463,2.3244
ZNF483,9,0.324,0.96736,2.3954
CFH,1,0.324,0.86061,0.99735
SEC16A,9,0.324,0.36049,-0.4719
SFMBT1,3,0.324,0.93588,2.0494
SLC5A3,21,0.324,0.96739,2.7611
SLC5A3,21,0.324,0.96739,2.7611
CDK13,7,0.324,0.90753,2.3479
IGSF9B,11,0.324,0.86551,2.5812
ACAP2,3,0.324,0.92325,3.2192
MAP2K2,19,0.325,0.96673,1.8655
PDCD10,3,0.325,0.96197,1.434
DIS3L2,2,0.325,0.944,0.94426
PDGFRB,5,0.325,0.9041,1.8417
C19orf68,19,0.325,0.96181,3.6769
ZFYVE9,1,0.325,0.90244,1.7979
UTY,Y,0.325,0.96681,-0.16894
NCKAP1L,12,0.325,0.85489,2.4765
BNC1,15,0.326,0.96479,1.2039
LRRC25,19,0.326,0.945,0.80658
ABLIM1,10,0.326,0.9301,1.6153
LHX6,9,0.326,0.96572,2.9251
SLC20A2,8,0.326,0.96545,2.6315
CLPTM1,19,0.326,0.95767,2.9321
TRIM67,1,0.326,0.96542,1.7402
CDC37L1,9,0.326,0.96614,-0.13966
MAGT1,X,0.326,0.96138,1.0616
NKX2-5,5,0.326,0.94531,0.1987
DCLK2,4,0.326,0.95706,1.7562
CALM1,14,0.327,0.94473,3.051
ELFN2,22,0.327,0.96483,2.1602
SLC41A2,12,0.327,0.96597,1.7842
ACTR1A,10,0.327,0.96621,3.0266
GEMIN8,X,0.327,0.94464,0.59997
LTBP4,19,0.327,0.49911,2.3487
ATG13,11,0.328,0.96359,1.5173
CCT8,21,0.328,0.96252,1.0666
ATXN7,3,0.328,0.9595,-0.62346
PITPNA,17,0.328,0.96513,2.4428
DYNC1LI1,3,0.328,0.96348,1.0395
TSC22D1,13,0.328,0.9599,-0.88133
R3HDM1,2,0.328,0.86068,1.8465
FJX1,11,0.328,0.94412,0.65854
FAM65B,6,0.328,0.92284,2.3675
RPS11,19,0.328,0.94396,1.6122
SKIV2L2,5,0.328,0.86106,3.0561
MAK16,8,0.328,0.96452,0.57822
HOXA11,7,0.329,0.94342,0.66839
DEDD,1,0.329,0.95912,2.2138
ZBTB7A,19,0.329,0.95915,4.0428
BRSK2,11,0.329,0.95141,2.9466
CDKN2AIP,4,0.329,0.96386,0.53856
ERG,21,0.329,0.96413,2.528
CRK,17,0.329,0.95936,2.37
SYT7,11,0.329,0.96342,2.2108
TMEM164,X,0.329,0.94373,2.3633
FOXG1,14,0.329,0.94355,3.4897
GTF2IRD1,7,0.329,0.90039,2.6604
CACUL1,10,0.33,0.96315,0.6506
RAB6B,3,0.33,0.95879,2.4901
RARA,17,0.33,0.96305,3.0806
BCL6,3,0.33,0.96038,2.2454
IPMK,10,0.33,0.96258,0.77253
HNF1A,12,0.33,0.96115,1.1354
UNC5D,8,0.33,0.92929,2.2475
PPM1G,2,0.33,0.9604,3.3419
POFUT1,20,0.33,0.96303,0.95225
ZNF296,19,0.33,0.95906,1.6096
PRCC,1,0.33,0.96281,1.0909
VMP1,17,0.33,0.96271,2.2484
USP25,21,0.33,0.7522,1.2369
EIF2B4,2,0.33,0.96117,0.79835
SYNJ1,21,0.33,0.42709,2.2493
HIP1,7,0.33,0.76173,2.2662
ADAMTS10,19,0.33,0.84288,3.628
ANO1,11,0.33,0.87426,2.77
CBFB,16,0.33,0.9589,1.7143
ARAF,X,0.33,0.96322,2.4483
ARF5,7,0.33,0.94298,2.2772
DSG1,18,0.331,0.92688,-0.34109
HHIP,4,0.331,0.95436,1.3631
USP33,1,0.331,0.86249,2.1049
ANP32B,9,0.331,0.95827,1.2651
DEPDC5,22,0.331,0.1165,2.6501
HYOU1,11,0.331,0.86105,1.8014
CLIP1,12,0.331,0.68088,2.0759
MYH14,19,0.332,0.042236,2.284
RGS7BP,5,0.332,0.95778,1.0244
FAM208B,10,0.332,0.30957,-0.0893
EYA1,8,0.332,0.94588,1.0202
ZCCHC24,10,0.332,0.942,1.9084
VPS13D,1,0.332,1.0749e-06,2.4957
SPECC1L,22,0.332,0.85887,1.5985
KPNA3,13,0.332,0.95357,3.3927
ZMYM2,13,0.332,0.66648,3.0143
DERL2,17,0.332,0.9574,1.6165
SNED1,2,0.332,0.66246,3.1323
NEUROD2,17,0.332,0.94202,2.6696
OTUD7A,15,0.333,0.95249,2.865
PRDM1,6,0.333,0.9565,1.7699
SKP2,5,0.333,0.96042,1.9548
ATXN2,12,0.333,0.85289,2.347
ELMO1,7,0.333,0.89997,3.1294
CCDC132,7,0.333,0.8139,2.5016
RCC2,1,0.334,0.95567,3.0895
BMP4,14,0.334,0.9564,1.0071
GSK3B,3,0.334,0.95571,2.7977
MAGI1,3,0.334,0.5597,1.3637
SMURF2,17,0.334,0.87235,2.9007
CTLA4,2,0.334,0.94085,1.6863
SNX18,5,0.334,0.95637,1.9702
SEPT11,4,0.334,0.95924,1.9716
MSH2,2,0.334,0.89539,-2.4487
HK1,10,0.334,0.91459,3.2312
TOX4,14,0.334,0.95637,2.3728
CSRNP2,12,0.334,0.96015,2.1726
SP9,2,0.335,0.94003,2.2641
LTBP3,11,0.335,0.68647,2.849
ALDH1A1,9,0.335,0.95448,1.655
RASAL2,1,0.335,0.79641,1.4044
AGAP3,7,0.335,0.91091,2.9915
CCDC64,12,0.335,0.94786,0.98406
ILDR2,1,0.335,0.95385,1.2559
GRB10,7,0.335,0.93945,1.5326
NCOA3,20,0.335,0.54065,1.3278
PURA,5,0.335,0.94029,3.3704
INCENP,11,0.336,0.88595,0.76649
TNR,1,0.336,0.52437,1.5952
ARHGAP25,2,0.336,0.94635,0.61934
PPP1CC,12,0.336,0.95777,3.3595
RBFOX1,16,0.336,0.95263,0.19555
XYLT1,16,0.336,0.92418,0.58588
TMEM178B,7,0.336,0.95458,2.3152
KIAA2026,9,0.336,0.65923,-4.3262
PSD,10,0.337,0.90358,1.7965
KLHL3,5,0.337,0.94479,2.9931
SPTY2D1,11,0.337,0.94476,1.0236
C1orf226,1,0.337,0.939,0.8227
ANGPT1,8,0.337,0.95208,1.3025
ATG4B,2,0.337,0.95648,1.4141
SLITRK1,13,0.337,0.95737,0.40509
CACNA2D3,3,0.337,0.57778,1.863
SART1,11,0.337,0.88163,2.3016
RBMX2,X,0.337,0.93892,0.91703
ANKS1A,6,0.338,0.80916,2.8133
KCNMB4,12,0.338,0.93853,2.059
PSMC3,11,0.338,0.9547,3.867
CDH6,5,0.338,0.91966,2.3866
FBLN1,22,0.338,0.91878,1.4266
GFPT1,2,0.338,0.89953,4.3482
STX12,1,0.338,0.95624,0.94585
DLG2,11,0.338,0.70796,2.0762
TMEM39A,3,0.338,0.95467,1.5486
SIX2,2,0.338,0.93869,0.51896
NUTF2,16,0.338,0.93864,2.2871
RNF126,19,0.338,0.95379,0.72908
DDHD1,14,0.338,0.902,1.1808
SORCS1,10,0.338,0.55937,1.3024
TIPRL,1,0.338,0.95372,1.7975
FN1,2,0.338,0.0014045,1.646
PCGF3,4,0.338,0.95326,2.1015
PLCH1,3,0.338,0.39649,1.4781
PTPRU,1,0.338,0.39251,2.4486
FGF10,5,0.339,0.93779,0.85048
IFNGR2,21,0.339,0.95281,0.82836
RUSC1,1,0.339,0.9413,1.4463
ZNF318,6,0.339,0.37383,0.2028
SOX13,1,0.339,0.94185,1.741
ZBTB37,1,0.339,0.95517,2.3551
BICC1,10,0.339,0.83685,1.2467
CNTFR,9,0.339,0.95549,1.599
ZMYND19,9,0.34,0.95174,1.5584
LDB2,4,0.34,0.9546,2.3718
DDA1,19,0.34,0.93718,1.6583
LZTS1,8,0.34,0.95491,0.21712
PHOX2B,4,0.34,0.93755,2.0833
SLITRK3,3,0.34,0.93906,0.58903
BNC2,9,0.34,0.92762,0.36014
GPR64,X,0.34,0.92694,1.8863
HPRT1,X,0.34,0.93728,2.3178
RAB6A,11,0.34,0.95237,2.5006
MAP3K5,6,0.34,0.51964,3.2847
SLC4A7,3,0.34,0.73616,2.2455
GABRB3,15,0.341,0.95138,3.3856
JAK2,9,0.341,0.65372,0.89572
ELK1,X,0.341,0.93711,2.1894
SLC35F1,6,0.341,0.95133,1.7774
LCP2,5,0.341,0.92466,0.91798
CSTF1,20,0.341,0.95401,3.4072
KIF1C,17,0.341,0.71767,1.4012
RALGDS,9,0.341,0.88814,1.4662
LRP5,11,0.341,0.50992,1.6684
POU5F1,6,0.341,0.95371,1.7567
SIK1,21,0.341,0.93716,1.489
XYLT2,17,0.341,0.92576,2.0916
AC006486.9,19,0.341,0.93701,2.1219
HOMER3,19,0.341,0.95363,1.1898
BCL2L1,20,0.341,0.93667,1.62
DOCK1,10,0.341,0.0068117,2.4128
GAB3,X,0.341,0.9536,1.4669
EIF2S2,20,0.342,0.95327,2.895
SYT14,1,0.342,0.94463,1.3313
ARHGEF1,19,0.342,0.76754,2.8274
ZC3H14,14,0.342,0.88291,1.4514
EBP,X,0.342,0.93645,1.4942
FEZF1,7,0.342,0.95043,1.291
HSD17B10,X,0.342,0.93604,2.594
AP3B2,15,0.342,0.77198,2.9221
CLPX,15,0.342,0.92377,1.814
CDC14B,9,0.343,0.94308,1.013
EPB41L1,20,0.343,0.87683,1.9386
RPS10-NUDT3,6,0.343,0.95186,1.7535
MOV10,1,0.343,0.80908,2.7581
HMBS,11,0.343,0.94884,0.64341
HORMAD1,1,0.343,0.94885,1.5375
POU2F1,1,0.343,0.90229,2.2309
PRPS2,X,0.343,0.93544,3.0509
RAP1GDS1,4,0.343,0.93288,1.0706
PMEPA1,20,0.343,0.93577,1.2068
RUNX2,6,0.343,0.94884,1.6033
ALKBH5,17,0.343,0.94974,2.5626
PFDN6,6,0.343,0.93592,1.4066
SNX1,15,0.344,0.93179,0.80383
ASIC1,12,0.344,0.93017,2.8206
COPZ1,12,0.344,0.94896,0.76566
MTUS2,13,0.344,0.79549,0.083466
IRF8,16,0.344,0.94807,1.1873
PCDHAC2,5,0.344,0.93114,1.7218
POLR2B,4,0.344,0.52372,6.6178
CADPS2,7,0.344,0.36785,1.0911
LYPLA2,1,0.344,0.94955,1.6985
LRRC1,6,0.344,0.93181,1.4596
MAP3K13,3,0.344,0.80051,2.1934
OXR1,8,0.344,0.84148,1.0161
P4HA1,10,0.344,0.93166,2.014
NTN4,12,0.344,0.91585,1.7405
AP3B1,5,0.344,0.61532,0.88997
KIF3A,5,0.344,0.89775,3.0924
FNTA,8,0.345,0.94721,0.80353
ITGA5,12,0.345,0.42455,1.6501
PI4KB,1,0.345,0.86607,3.5512
CXXC1,18,0.345,0.89506,3.1488
CD86,3,0.345,0.94879,1.0754
MAF1,8,0.345,0.94812,2.2179
VASP,19,0.345,0.94665,1.2065
HERPUD2,7,0.345,0.94702,1.0588
LARP4,12,0.345,0.86884,0.98823
LCOR,10,0.345,0.95022,1.1206
C6orf136,6,0.346,0.94895,1.2564
CCNT2,2,0.346,0.92681,1.7732
ATG2A,11,0.346,0.053526,1.8142
USP49,6,0.346,0.93828,2.6202
NUPL1,13,0.346,0.92697,1.0565
ASUN,12,0.346,0.86229,2.7584
ATP8A1,4,0.346,0.1999,2.6126
RNF214,11,0.346,0.9096,1.1522
EIF3I,1,0.346,0.9493,2.4625
SGMS1,10,0.346,0.94507,2.6665
TECPR2,14,0.346,0.58003,1.7378
VPS4A,16,0.347,0.94474,2.685
DHX36,3,0.347,0.47221,1.8412
DROSHA,5,0.347,0.093176,3.9842
PER2,2,0.347,0.7148,0.42662
NEO1,15,0.347,0.24398,1.6321
AFF1,4,0.347,0.71038,-0.40638
BZW1,2,0.347,0.94418,3.0326
ETV1,7,0.347,0.93694,0.87469
THBS2,6,0.347,0.55641,2.2148
BECN1,17,0.347,0.93717,1.8763
BEND3,6,0.347,0.93555,2.3139
LRRC8A,9,0.347,0.94398,3.3754
MEGF10,5,0.347,0.3904,1.0492
RNF144A,2,0.347,0.94776,1.4356
STAT4,2,0.347,0.7662,2.7415
TRAM2,6,0.347,0.94418,1.7609
STK38L,12,0.348,0.93427,2.9413
EXOC3,5,0.348,0.92216,2.4337
SLK,10,0.348,0.37441,2.6457
DCAF7,17,0.348,0.93284,2.7356
EHBP1,2,0.348,0.30745,1.1852
USP14,18,0.348,0.90546,1.9354
LHX5,12,0.348,0.94591,2.1724
RDX,11,0.348,0.85245,0.90818
PDE2A,11,0.348,0.631,4.056
E2F3,6,0.349,0.9458,1.5902
FOXN1,17,0.349,0.94214,0.65722
SGTA,19,0.349,0.94632,1.9674
ZNF503,10,0.349,0.94589,0.68106
RASSF8,12,0.349,0.94158,1.1038
CD22,19,0.349,0.8044,0.6737
FLT3,13,0.349,0.60777,0.982
UGCG,9,0.349,0.94147,2.7391
ZNF146,19,0.349,0.93205,2.5779
FRMD4B,3,0.349,0.4539,-0.040505
UBR1,15,0.349,0.0054862,2.3964
YBX1,1,0.349,0.94646,1.715
SLC25A5,X,0.349,0.93194,2.6524
RPS4X,X,0.349,0.93222,2.2887
NUP214,9,0.349,0.054748,0.65338
HNRNPLL,2,0.349,0.91907,2.3619
SLC4A1,17,0.349,0.84602,1.6611
RAP1GAP,1,0.349,0.84376,2.3001
MAP4,3,0.349,0.84782,0.69035
EFNB1,X,0.349,0.93251,1.5909
EGFR,7,0.349,0.36837,1.8734
RASGEF1B,4,0.349,0.92073,1.474
EMD,X,0.35,0.93178,-0.16471
RHOT1,17,0.35,0.79851,2.4699
KIDINS220,2,0.35,0.073562,2.2613
EN1,2,0.35,0.93135,1.0998
MMP16,8,0.35,0.91797,3.5194
CBX5,12,0.35,0.93174,2.5267
APPL1,3,0.35,0.7952,0.71635
LEO1,15,0.35,0.87094,2.3445
S100PBP,1,0.35,0.94509,0.076466
ARID5A,2,0.35,0.94518,1.669
MRGBP,20,0.35,0.93142,2.2448
LHFPL3,7,0.35,0.93153,1.0641
NR3C2,4,0.35,0.83739,2.0951
SLC38A1,12,0.35,0.93067,2.1483
HOXA3,7,0.35,0.9445,0.28115
GTPBP1,22,0.351,0.93001,3.358
RAB11FIP2,10,0.351,0.94451,0.77939
SREK1,5,0.351,0.9148,2.2589
MDGA2,14,0.351,0.66457,1.7393
DNAJB14,4,0.351,0.93874,1.6889
AGTPBP1,9,0.351,0.42151,2.011
MAZ,16,0.351,0.94363,0.58627
SDK2,17,0.351,0.0041393,2.6782
MRC1,10,0.352,0.94335,1.9537
PCDH10,4,0.352,0.89066,1.083
SHROOM3,4,0.352,0.31709,1.2399
BMI1,10,0.352,0.94286,2.4296
KANSL1L,2,0.352,0.65684,0.24511
SYAP1,X,0.352,0.94312,1.159
ASNA1,19,0.352,0.94316,2.2073
STRN3,14,0.352,0.82925,0.93473
KLHDC10,7,0.353,0.92564,3.4081
MYB,6,0.353,0.81924,2.5064
INPP4B,4,0.353,0.55218,1.1286
TBC1D30,12,0.353,0.88919,2.7005
TRAF4,17,0.353,0.93602,2.4225
UBFD1,16,0.353,0.94238,1.0376
HSP90AA1,14,0.353,0.86025,1.0368
ARAP1,11,0.353,0.12294,2.1365
PAPPA,9,0.354,0.1613,2.2145
TTN,2,0.354,2.5582e-96,-1.1021
TUBGCP3,13,0.354,0.4552,2.5155
MIA3,1,0.354,0.03675,0.69426
COLEC12,18,0.354,0.90761,1.4882
ARL8A,1,0.354,0.94173,2.9159
ZNF362,1,0.354,0.94115,2.7283
EIF4E,4,0.354,0.94133,2.5813
LCORL,4,0.354,0.92374,1.6596
ST3GAL2,16,0.354,0.9417,1.703
RNF19B,1,0.354,0.92372,2.2728
DIP2A,21,0.354,0.11301,2.6228
RAF1,3,0.354,0.85295,2.4628
ELOVL5,6,0.355,0.93341,1.5155
XRN2,20,0.355,0.34851,2.5001
SLC24A3,20,0.355,0.87946,2.0889
JMJD6,17,0.355,0.93353,1.4782
PLP1,X,0.355,0.92845,2.0373
CADM3,1,0.355,0.93386,1.6917
SPCS2,11,0.355,0.92879,1.4233
UBE2H,7,0.355,0.94063,3.2981
BMPR1A,10,0.355,0.90333,1.9176
PSMC5,17,0.355,0.93308,4.1587
CD19,16,0.355,0.90496,1.0267
FLT3LG,19,0.356,0.9404,0.89737
GRIP1,12,0.356,0.50828,1.582
WWTR1,3,0.356,0.93914,1.1165
ZNF326,1,0.356,0.90182,1.5847
KCNQ3,8,0.356,0.80089,2.068
CALM3,19,0.357,0.92749,2.9788
GID8,20,0.357,0.93963,2.4722
SPTBN2,11,0.357,9.9268e-05,2.6349
RCC1,1,0.357,0.93109,1.6839
EPHA6,3,0.357,0.67037,1.5033
FER,5,0.357,0.6633,1.2604
YWHAZ,8,0.357,0.93965,3.0961
GRB2,17,0.357,0.93934,2.8509
IPO8,12,0.358,0.2344,2.1174
SUV39H2,10,0.358,0.92921,3.2832
SVIL,10,0.358,0.00086302,0.88511
OSBPL11,3,0.358,0.83432,2.2935
MIER2,19,0.358,0.89593,0.55948
UBE2Z,17,0.358,0.93838,2.8676
NFATC4,14,0.358,0.8679,1.4429
LCT,2,0.358,0.059849,3.1554
NTNG1,1,0.358,0.9167,2.4549
FIP1L1,4,0.358,0.7889,3.0652
ATP6V1A,3,0.358,0.86801,3.3731
TMEM194A,12,0.358,0.91617,1.0718
RNF103,2,0.358,0.89697,0.83643
WSB2,12,0.358,0.92938,2.1417
KTN1,14,0.359,0.0064543,-0.023153
FNBP1,9,0.359,0.82844,2.0246
PPTC7,12,0.359,0.93813,2.8884
CANX,5,0.359,0.86635,1.582
KDM5D,Y,0.359,0.92793,-0.37245
CRTC3,15,0.359,0.86585,0.4005
SOX4,6,0.359,0.92656,1.1667
TNFRSF8,1,0.359,0.86407,0.94113
MAP2K6,17,0.359,0.91334,3.0103
FMNL3,12,0.359,0.46549,2.2045
FAM83H,8,0.359,0.89239,-0.41702
GPR125,4,0.359,0.29336,0.45062
NXPH2,2,0.359,0.92646,1.4985
PIK3C2A,11,0.359,0.010126,1.2974
ZNF628,19,0.359,0.91268,1.2131
EDC4,16,0.36,0.1061,3.2857
FAXC,6,0.36,0.93484,1.5352
SEPT5,22,0.36,0.92671,2.6296
RASGRF2,5,0.36,0.15243,3.0285
RAVER1,19,0.36,0.91101,1.4571
IL7,8,0.36,0.92574,0.70499
ADRBK2,22,0.36,0.71059,2.6342
PDCD6IP,3,0.36,0.70554,0.97635
ALYREF,17,0.36,0.92567,2.3107
ETNK1,12,0.36,0.92558,1.9141
SMC1B,22,0.36,0.1041,1.9453
NR4A3,9,0.36,0.9126,2.8061
PARD6B,20,0.36,0.92583,1.387
RAB5C,17,0.36,0.93717,1.4167
CCNB3,X,0.361,0.8585,0.84006
DDX23,12,0.361,0.54199,4.623
PPP2R3A,3,0.361,0.62349,-0.038902
TRAM1,8,0.361,0.92506,1.5406
MOSPD1,X,0.361,0.92491,1.3283
E2F8,11,0.361,0.81778,0.8138
ABR,17,0.361,0.62738,3.8894
ZIC3,X,0.361,0.92495,2.5168
BZRAP1,17,0.361,0.00844,1.4791
AES,19,0.361,0.93594,2.0575
POT1,7,0.362,0.85343,1.9247
CAPZA1,1,0.362,0.93292,1.2989
GAS7,17,0.362,0.8523,2.3308
SMURF1,7,0.362,0.6118,2.7639
WDR13,X,0.362,0.93514,3.2948
DHX40,17,0.362,0.7556,3.0176
E2F5,8,0.362,0.935,0.86055
TNS1,2,0.363,0.059861,0.55179
MARK1,1,0.363,0.60045,2.7282
FOXN3,14,0.363,0.93167,2.2756
PGAP2,11,0.363,0.93451,0.93325
RIMBP2,12,0.363,0.67813,1.3363
MPHOSPH10,2,0.363,0.84847,0.53749
SEPT6,X,0.363,0.93177,1.7001
TUBB2A,6,0.363,0.93478,5.2633
ADAM22,7,0.363,0.25101,2.3402
SENP3,17,0.363,0.84821,2.5625
USP27X,X,0.363,0.92373,3.1795
MEX3D,19,0.364,0.92303,2.4708
DCTN1,2,0.364,0.084251,0.89229
PAFAH1B2,11,0.364,0.93401,1.6503
FUBP3,9,0.364,0.79825,2.1743
SRRT,7,0.364,0.59362,2.9685
COL4A3BP,5,0.364,0.66702,2.3613
SNX13,7,0.364,0.40328,1.9874
CDH4,20,0.364,0.74348,2.0231
MTA2,11,0.364,0.74479,3.126
ACTA2,10,0.364,0.93017,3.1995
ZIC1,3,0.364,0.93378,2.5703
TBC1D20,20,0.364,0.93074,1.2147
CAMK2B,7,0.364,0.73914,4.0707
DDX27,20,0.364,0.58326,1.7328
ORC2,2,0.364,0.84443,1.0601
ZAP70,2,0.364,0.87696,2.7568
PTPN14,1,0.365,0.22055,1.6798
FAM13B,5,0.365,0.48745,0.8614
MMP2,16,0.365,0.83878,0.70987
STRN,2,0.365,0.66061,0.68571
TRMT1L,1,0.365,0.79653,1.8621
IPPK,9,0.365,0.8741,2.0046
DMTN,8,0.365,0.90082,1.255
LRRC16A,6,0.365,0.033641,2.7092
FCHSD2,11,0.366,0.56618,1.8436
MDH1,2,0.366,0.92765,1.1788
MEGF8,19,0.366,1.9329e-05,3.4785
PJA1,X,0.366,0.92754,1.0175
EIF3L,22,0.366,0.83781,2.7025
PEX26,22,0.366,0.93189,-0.36755
NTF3,12,0.366,0.93201,1.7356
PRKG2,4,0.366,0.64685,2.9899
LTN1,21,0.366,0.0084038,1.8992
PRDM10,11,0.366,0.15304,3.2778
PVRL3,3,0.366,0.91574,0.7705
DGKD,2,0.366,0.072171,2.9572
CDH9,5,0.367,0.83147,1.7586
NPAT,11,0.367,0.28233,-0.14622
ZNF469,16,0.367,0.71866,0.77372
WDR20,14,0.367,0.91532,1.8456
HIPK3,11,0.367,0.27733,1.7268
ARHGDIG,16,0.367,0.92154,0.0034914
MOB4,2,0.367,0.93103,2.3787
TRPC4AP,20,0.367,0.55209,1.2243
GABRA1,5,0.367,0.91489,3.1498
ADAMTS1,21,0.367,0.71601,0.66702
KCNH7,2,0.367,0.28183,3.0393
IP6K1,3,0.367,0.92674,2.4396
CYLC1,X,0.367,0.93145,-1.5283
DGKA,12,0.367,0.46072,2.498
MRAS,3,0.368,0.92111,2.3268
FAM214A,15,0.368,0.4452,0.9381
RGS7,1,0.368,0.77696,2.4735
DR1,1,0.368,0.92117,2.2338
IGSF3,1,0.368,0.26474,1.771
OXSR1,3,0.368,0.77444,2.6028
RPS19,19,0.368,0.92111,1.4515
DTNA,18,0.368,0.63459,1.4204
BIN1,2,0.368,0.77822,2.2513
CALM2,2,0.368,0.92086,2.7928
NFRKB,11,0.368,0.13431,1.5332
PRDM12,9,0.368,0.93018,1.6724
RPSA,3,0.368,0.93037,2.4182
SMEK2,2,0.368,0.70636,1.0257
NCKAP5L,12,0.368,0.632,0.74066
GPC4,X,0.368,0.92613,1.6555
SRSF6,20,0.369,0.91099,1.0995
LPPR4,1,0.369,0.86104,2.879
DGKB,7,0.369,0.52991,1.9459
POGK,1,0.369,0.89187,3.3504
USO1,4,0.369,0.33417,1.2796
DMBX1,1,0.369,0.92957,0.83056
SLC25A28,10,0.369,0.92954,2.9177
GABPB1,15,0.369,0.91121,2.9305
PTBP3,9,0.369,0.86295,1.2038
SNX9,6,0.369,0.7061,1.8225
TLL1,4,0.37,0.17306,0.93962
PSD4,2,0.37,0.42272,0.96495
HMX3,10,0.37,0.91992,0.90769
BBX,3,0.37,0.51752,1.0908
POU4F3,5,0.37,0.91964,-0.66097
CDC37,19,0.37,0.90925,1.6797
RPS27A,2,0.37,0.91944,0.86253
SACM1L,3,0.37,0.69536,1.9903
SLC13A4,7,0.37,0.81559,2.0102
PLXNB3,X,0.371,0.23163,0.2265
TFAP2C,20,0.371,0.92204,2.4627
APBB1IP,10,0.371,0.85443,1.2852
FNBP1L,1,0.371,0.75392,2.1102
AMER1,X,0.371,0.8538,-0.56916
PIGR,1,0.371,0.81331,1.1438
PIEZO2,18,0.371,8.0992e-07,3.4445
PPARGC1B,5,0.371,0.50321,0.50288
SEZ6L,22,0.371,0.50741,1.4683
DSTYK,1,0.371,0.51262,1.5861
B4GALT6,18,0.371,0.90783,1.7024
GABRA5,15,0.372,0.90535,3.2308
NLGN1,3,0.372,0.85276,2.2182
PHLDB1,11,0.372,0.10667,1.4742
SYNE2,14,0.372,1.6503e-25,-1.4546
SYT11,1,0.372,0.92676,1.6825
PCDH9,13,0.372,0.80865,2.3295
HAS3,16,0.372,0.88316,2.5553
RP11-793H13.10,12,0.372,0.884,2.0579
MAP4K3,2,0.372,0.10987,1.4452
KCNK12,2,0.372,0.91853,3.6464
TERF1,8,0.372,0.90655,0.3718
PTPN23,3,0.372,0.031312,1.3305
ERO1L,14,0.372,0.80854,1.2959
TCF12,15,0.372,0.67602,0.89015
ZDHHC8,22,0.372,0.85288,1.8523
GNAS,20,0.372,0.68076,2.6546
LIN52,14,0.372,0.91836,1.0524
STAM,10,0.372,0.85048,0.29427
GAD2,10,0.372,0.75083,1.5291
ANAPC7,12,0.373,0.8485,2.1176
